"Canadian Prime Hereford-Guelph, ON",Tenderloin,6 oz,56
"Canadian Prime Hereford-Guelph, ON",Tenderloin,8 oz,72
"Canadian Prime Hereford-Guelph, ON",Tenderloin,10 oz,90
"Canadian Prime Hereford-Guelph, ON",Striploin,9 oz,63
"Canadian Prime Hereford-Guelph, ON",Ribeye,14 oz,91
"Canadian Prime Hereford-Guelph, ON",Bone In Striploin,18 oz,108
"Canadian Prime Hereford-Guelph, ON",T Bone,25 oz,150
"VanGroningen Farms Angus-Norfolk, ON",Ribeye,12 oz,72
"VanGroningen Farms Angus-Norfolk, ON",Bone In Striploin,18 oz,108
"VanGroningen Farms Angus-Norfolk, ON",T Bone,25 oz,150
"VanGroningen Farms Angus-Norfolk, ON",Porterhouse,40 oz,240
"La Morocha Farms Angus-San Luis, Argentina",Tenderloin,6 oz,54
"La Morocha Farms Angus-San Luis, Argentina",Striploin,10 oz,65
"La Morocha Farms Angus-San Luis, Argentina",Ribeye,12 oz,84
"Canadian Prime Hereford-High River, AB",Bone In Ribeye,20 oz,130
"Canadian Prime Hereford-High River, AB",Bone In Ribeye,28 oz,182
"Canadian Prime Hereford-High River, AB",Bone In Ribeye,30 oz,195
"A5 Kobe Black Tajima-Hyogo Prefecture, JP",Tenderloin,6 oz,360
"A5 Kobe Black Tajima-Hyogo Prefecture, JP",Tenderloin,8 oz,480
"A5 Kobe Black Tajima-Hyogo Prefecture, JP",California Cut Striploin,4 oz,220
"A5 Kobe Black Tajima-Hyogo Prefecture, JP",California Cut Striploin,8 oz,440
"A5 Kobe Black Tajima-Hyogo Prefecture, JP",Ribeye,14 oz,770
"A5 Kobe Black Tajima-Hyogo Prefecture, JP",Ribeye,16 oz,880
"A5 Kobe Black Tajima-Hyogo Prefecture, JP",Ribeye,20 oz,1100
